index,ID,Date,Post,Username,Retweets,Favorites,Geo,Mentions,Hashtags
5161,1295307436778299393,2020-08-17 10:32:13+00:00,Nunueni @AIRTEL_KE na muache mambo mingi. Saf is government entity. Itawapeana kuwapeana,Adidas92276013,0,0,,@AIRTEL_KE,
5163,1295304351376986112,2020-08-17 10:19:57+00:00,@AIRTEL_KE it's was so amazing You introduced your my Airtel app - well done My Airtel TV for entertainment- I loved it Airtel monthly binge - introduced it - you deleted it You make me switch to the other color network #ReturnBingeBack,jumalaw98,0,0,,@AIRTEL_KE,#ReturnBingeBack
5166,1295303607391260672,2020-08-17 10:17:00+00:00,Using @AIRTEL_KE network is a struggle on its own. ,Pp_ius,0,0,,@AIRTEL_KE,
5167,1295301688371290112,2020-08-17 10:09:22+00:00,Uncle ya hai Unty... what is the progress.. are you making Taj mahal... @airtelindia @airtelnews @Airtel_Presence @AirtelNigeria @AIRTEL_KE @Airtel_Ug @airtelmg @AirtelRwCares @ArcelorMittal,JodhawatParesh,0,0,,@airtelindia @airtelnews @Airtel_Presence @AirtelNigeria @AIRTEL_KE @Airtel_Ug @airtelmg @AirtelRwCares @ArcelorMittal,
5168,1295301391741747200,2020-08-17 10:08:11+00:00,"@AIRTEL_KE I bought a line yesterday and activated it with the seller. Later on, it changed status to deactivated, urgently help. line 0102802624",BIXENTEKIM,0,0,,@AIRTEL_KE,
5169,1295301344597872642,2020-08-17 10:08:00+00:00,@AIRTEL_KE kindly check DM.,Pp_ius,0,0,,@AIRTEL_KE,
5177,1295299367302094848,2020-08-17 10:00:09+00:00,Its Life In Your Years That Count! @asgfiltration @gerizentime @doricreates @gracemurphy2 @ifarmlife @bharat__surya @lovelynhild @djdrek84 @airtel_ke @mysodotcom @williamgjones @wbellauthor @karijoys @patgrant7777 @donburgess_ @billmoore20,ledrew,1,6,,@ASGFiltration @Gerizentime @DoriCreates @GraceMurphy2 @ifarmlife @BHARAT__SURYA @LovelynHild @DJDREK84 @AIRTEL_KE @MySOdotCom @WilliamGJones @wbellauthor @KariJoys @PatGrant7777 @DonBurgess_ @BillMoore20,
5190,1295292478866755584,2020-08-17 09:32:46+00:00,Airtel Ke vs Safaricom test speed. @AIRTEL_KE up your game please that shouldn't be 4G speeds. ,emmanuallan,0,1,,@AIRTEL_KE,
5191,1295291964078854144,2020-08-17 09:30:44+00:00,@AIRTEL_KE dm,She_united,0,0,,@AIRTEL_KE,
5201,1295289026631565312,2020-08-17 09:19:03+00:00,@AIRTEL_KE why is that when i switch my phone off and then switch it on airtel says you spent 10.00 amd takes my balance away,twahayzer,0,0,,@AIRTEL_KE,
5204,1295288518751784962,2020-08-17 09:17:02+00:00,@AIRTEL_KE please check DM...thanks.,daphykamore,0,0,,@AIRTEL_KE,
5210,1295287506104135681,2020-08-17 09:13:01+00:00,@AIRTEL_KE why do you people like to frustrate us this much?,LucaMatoke,0,1,,@AIRTEL_KE,
5213,1295284555168067590,2020-08-17 09:01:17+00:00,@AIRTEL_KE see dm,supasta45,0,0,,@AIRTEL_KE,
5215,1295284046621224960,2020-08-17 08:59:16+00:00,@AIRTEL_KE is this not SCAM how comes you say bundle is a weekly bundle and it does not last 2 days?,bobjamwa,0,0,,@AIRTEL_KE,
5218,1295281502524080129,2020-08-17 08:49:10+00:00,@AIRTEL_KE What's the update?? ,KenOtogo,0,0,,@AIRTEL_KE,
5225,1295278762511216641,2020-08-17 08:38:16+00:00,"@AIRTEL_KE kindly refresh my line, my Internet is just terrible. 0102897553",andyyfury,0,0,,@AIRTEL_KE,
5229,1295278342774587392,2020-08-17 08:36:36+00:00,"The irony ,calling @AIRTEL_KE to complain about drop calls and the call keeps on dropping",cariukey,0,0,,@AIRTEL_KE,
5239,1295271411934732290,2020-08-17 08:09:04+00:00,Kindly @AIRTEL_KE I am unable to use my free 100 minutes Airtel to Airtel calls while they ain't expired. Help!,demmy_nel,0,0,,@AIRTEL_KE,
5252,1295268610466656256,2020-08-17 07:57:56+00:00,@airtelindia @AirtelNigeria @airtelnews @AIRTEL_KE no one ready give proper answer please return my money take back your DTH.,Yogeshkumarkes,0,0,,@airtelindia @AirtelNigeria @airtelnews @AIRTEL_KE,
5257,1295267810801852418,2020-08-17 07:54:45+00:00,"@AIRTEL_KE Why is my line not working, it's been 4days now. Your customer is always unreachable, the number is 0787863688",Mikaelmikey,0,0,,@AIRTEL_KE,
5260,1295267550763286529,2020-08-17 07:53:43+00:00,"Bought a airtime but it's not working, serial number 000107529730287 @AIRTEL_KE",amGeorgeWachira,0,0,,@AIRTEL_KE,
5263,1295267123472859136,2020-08-17 07:52:01+00:00,@AIRTEL_KE airtel did it again.. Unaonjeshwa offer ya data package alafu wanaitia less than a month ,steveobara3,0,0,,@AIRTEL_KE,
5267,1295266425985212416,2020-08-17 07:49:15+00:00,So funny thing is that when I request on my line last 5 transactions it’s not showing? @AIRTEL_KE kindly explain. Cc @CofekRebranded,JakeTwitted,0,0,,@AIRTEL_KE @CofekRebranded,
5273,1295265854158929920,2020-08-17 07:46:59+00:00,So @AIRTEL_KE I get a notification that some airtime has been ducted on my account but I haven’t made a call or texted. So I call you guys you tell me I’ve texted a no or “an app has texted the no” (0000447537410257).,JakeTwitted,0,0,,@AIRTEL_KE,
5276,1295265197033226240,2020-08-17 07:44:22+00:00,@AIRTEL_KE Can we discuss over billing issue,KenOtogo,0,0,,@AIRTEL_KE,
5278,1295263741592862720,2020-08-17 07:38:35+00:00,@AIRTEL_KE How do we talk to a customer care agent???? Its annoying!! I just upgraded my line and b4 I make a call there's that person speaking all the time!!!,MartaMatamu,0,0,,@AIRTEL_KE,
5281,1295260802698612736,2020-08-17 07:26:54+00:00,@AIRTEL_KE Reverse the last unliminet 2k gifted to 0738755408 from 0752316873. Let the Airtime go to 0752316873.... ,jeichegee,0,0,,@AIRTEL_KE,
5282,1295260257380442112,2020-08-17 07:24:44+00:00,@AIRTEL_KE Check dm,KenOtogo,0,0,,@AIRTEL_KE,
5284,1295259510483955712,2020-08-17 07:21:46+00:00,"@AIRTEL_KE I am having internet problem since tuesday last week. Despite being calling your customer care the several times, the issue not resolved 5 days later! Issue ID C38362342 ",eriq_oT,0,0,,@AIRTEL_KE,
5297,1295253535270076416,2020-08-17 06:58:02+00:00,"@CA_Kenya there has been no @AIRTEL_KE network in Kilifi town since 8pm Sunday, and they are unreachable.",DMKitui,0,0,,@CA_Kenya @AIRTEL_KE,
5301,1295253067827425280,2020-08-17 06:56:10+00:00,There is no @AIRTEL_KE network in Kilifi since 8pm Sunday. What is?,DMKitui,0,0,,@AIRTEL_KE,
5303,1295252825589592064,2020-08-17 06:55:12+00:00,@AIRTEL_KE I sent a DM please reply,Shigalithomas,0,0,,@AIRTEL_KE,
5309,1295251002275303425,2020-08-17 06:47:58+00:00,@SafaricomPLC @AIRTEL_KE @KeEquityBank we have been a family for quite a while. What will you do for my Birthday? ,khalidjoho,0,4,,@SafaricomPLC @AIRTEL_KE @KeEquityBank,
5310,1295250592726683648,2020-08-17 06:46:20+00:00,@AIRTEL_KE pls bring back our no-day no-night data bundles. This night bundle should remain a choice. I would rather the 200mb than 300mb for 20/-. Leave the night data to club night. Thanks,mbulbiz,0,0,,@AIRTEL_KE,
5318,1295244258589519872,2020-08-17 06:21:10+00:00,I was ready to quit @AIRTEL_KE until they gave free Twitter. Deceptive bastards . #Covid19Millionaires,fidematt,0,0,,@AIRTEL_KE,#Covid19Millionaires
5322,1295243588146790401,2020-08-17 06:18:30+00:00,@AIRTEL_KE please upgrade your internet speed for us in Aitong Maasai Mara Narok county. Ama tuhame.!!!!,KingNoosaville,0,0,,@AIRTEL_KE,
5342,1295233704441384960,2020-08-17 05:39:14+00:00,"@AIRTEL_KE Bought airtime for 100. Called for 16sec, 0ver 20bob was spent. Today morning I wake up to 60 bob airtime left. I have data manager activated. And I can’t seem to get an agent on dialing 100.",GeornJee,0,0,,@AIRTEL_KE,
5344,1295231662855462913,2020-08-17 05:31:07+00:00,@AIRTEL_KE have bundles but not browsing...Unless i add extra bundles but the 20GB are not working..My number is in DM ,murisam1,0,0,,@AIRTEL_KE,
5357,1295224186286243841,2020-08-17 05:01:24+00:00,"@AIRTEL_KE, you are reply working hard to make me reconsider our relationship. I promise you tomorrow I am not asking for this again. ",KaraniMagutah,0,0,,@AIRTEL_KE,
5364,1295219994742214657,2020-08-17 04:44:45+00:00,@AIRTEL_KE. Good morning. Line 0751232806 is post paid and Sijapata resources for this month of August 2020.,FOnjwaya,0,0,,@AIRTEL_KE,
5367,1295218824816533504,2020-08-17 04:40:06+00:00,Hey @AIRTEL_KE . Was the binge data a pilot plan because I can't see the option?,karimimuigai,0,1,,@AIRTEL_KE,
5376,1295206314000265216,2020-08-17 03:50:23+00:00,"500 crs helps for nation building , @airtelnews @airtelindia give signal to 4g customers to use airtel service .are you @AirtelNigeria @AIRTEL_KE really supporting this ppl @Airtel_Ug @airtelmg @Airtel_Zambia @airtelrw ..as a indian nt getting signal,pity for them :-(",harivrs,0,0,,@airtelnews @airtelindia @AirtelNigeria @AIRTEL_KE @Airtel_Ug @airtelmg @Airtel_Zambia @airtelrw,
5378,1295200534308302851,2020-08-17 03:27:25+00:00,"@AIRTEL_KE muache ujinga Sasa, mumezidi, the previous data setting was reliable, the worst thing is hio data yenu works from midnight ",MURCUS_j,0,0,,@AIRTEL_KE,
5379,1295198951511961600,2020-08-17 03:21:08+00:00,एयरटेल का सबसे बकवास नेटवर्क हो गया है |पैक खत्म होने से पहले दो-तीन दिन सही चलेगा बाद में वही हाल एयरटेल वाले बहुत हरामीपन कर रहे हैं | @Airtel_Presence @airtelindia @AIRTEL_KE,AtulPal_jagran,0,1,,@Airtel_Presence @airtelindia @AIRTEL_KE,
5383,1295181963477819395,2020-08-17 02:13:38+00:00,"@AIRTEL_KE You have been using my day bundles from midnight rather than the night bundles. Consequently, my data bundles run out without me using the night bundles. Continue stealing from your customers, the same way your bosses are looting. 0780039098",ketta_ayuo,0,0,,@AIRTEL_KE,
5394,1295131059324178438,2020-08-16 22:51:21+00:00,Hi @pesapalcare I made this purchase... waiting for your response OHH9OMEDZL Confirmed. Ksh100.00 sent to PesaPal for account 0736720628 on 17/8/20 at 1:38 AM. Cc @AIRTEL_KE,Phil_Huru,0,0,,@pesapalcare @AIRTEL_KE,
5412,1295114741833244680,2020-08-16 21:46:31+00:00,@SafaricomPLC @AIRTEL_KE huyu analilia 20bob,alooalphonce__,0,2,,@SafaricomPLC @AIRTEL_KE,
5417,1295112863934304256,2020-08-16 21:39:03+00:00,@AIRTEL_KE where's the binge monthly bundle option..??,Hanns_Presley,0,0,,@AIRTEL_KE,
5419,1295110342608072704,2020-08-16 21:29:02+00:00,@AIRTEL_KE don't give us the night data plan if you're not going to let us use them when it's midnight for fuck's sake...,bildad_young,0,1,,@AIRTEL_KE,
5420,1295109409090211840,2020-08-16 21:25:19+00:00,@AIRTEL_KE molisikia wapi Mimi ni mchawi hizi bundles zenu za 12am to 6am badilisha for once. And don't reply if the answer is use the app to buy them,MoriasiJaphet,0,0,,@AIRTEL_KE,
5425,1295106425610543105,2020-08-16 21:13:28+00:00,"Hi guys @SafaricomPLC ,@Safaricom_Care ,@AIRTEL_KE ,@TelkomKenya so is this guy working with you +254708448668 in selling your products #bundles sana sana",bae_afric,8,18,,@SafaricomPLC @Safaricom_Care @AIRTEL_KE @TelkomKenya,#bundles
5426,1295106283754983425,2020-08-16 21:12:54+00:00,What should we be doing to protect #Kenyans from #misinformation and #disinformation? @CA_Kenya @MoICTKenya @NCS_Kenya @KeCIRT @KICTANet @ITU @SafaricomPLC @AIRTEL_KE @TelkomKenya #takecarebeforeyoushare,Njiraini,0,1,,@CA_Kenya @MoICTKenya @NCS_Kenya @KeCIRT @KICTANet @ITU @SafaricomPLC @AIRTEL_KE @TelkomKenya,#Kenyans #misinformation #disinformation #takecarebeforeyoushare
5443,1295100927767195648,2020-08-16 20:51:37+00:00,Anybody else having problems with @AIRTEL_KE while loading airtime? #kot #kotloyals #airtelnetwork,NiMartoKim,0,0,,@AIRTEL_KE,#kot #kotloyals #airtelnetwork
5447,1295100167142739968,2020-08-16 20:48:36+00:00,"Hello @AIRTEL_KE, got issues when loading airtime since yesterday. Do something about it",NiMartoKim,0,0,,@AIRTEL_KE,
5455,1295095139094990850,2020-08-16 20:28:37+00:00,@AIRTEL_KE new to airtel. I night daily amazing for 99 Bob today morning 1.5gB bundles and free 1.5gb night bundles. What time do free night bundles kick in? The 1.5gb didn't last the whole day with no streaming,billywad81,0,0,,@AIRTEL_KE,
5456,1295093959346262017,2020-08-16 20:23:56+00:00,@AIRTEL_KE your night bundles is a scaaaam.,wazomelicious,0,0,,@AIRTEL_KE,
5457,1295093959321096193,2020-08-16 20:23:56+00:00,"@AIRTEL_KE @AIRTEL_KE why give pple packages that they can't enjoy No internet is better than slow Internet, been trying to call your support it does not go through despite dialing the write numbers... I hv over 6.5 Gb sort me out asap 0780551565",wazomelicious,0,0,,@AIRTEL_KE @AIRTEL_KE,
5465,1295087821632483331,2020-08-16 19:59:32+00:00,@AIRTEL_KE what's happening. I have bundles but can't browse. No connection check 0738294928,MutigaS,0,0,,@AIRTEL_KE,
5466,1295087411412729861,2020-08-16 19:57:55+00:00,"@AIRTEL_KE hey, at what time do the 3Gb night bundles become active?",AmujLio,0,0,,@AIRTEL_KE,
5467,1295084268520198146,2020-08-16 19:45:25+00:00,@AIRTEL_KE mtu anaangalia aje balance ya deni yake. Juu sielewi vile mnanikatakata pesa ,Muthange_,0,0,,@AIRTEL_KE,
5472,1295081373028569090,2020-08-16 19:33:55+00:00,@AIRTEL_KE Please check DM and respond regarding your poor network connection,Quira_Jolly,0,0,,@AIRTEL_KE,
5476,1295080389329985539,2020-08-16 19:30:00+00:00,"Adverts were sent out on 13-Aug-2020 and two days later, service not available. Duration was 30days. Was it an hoax from official @AIRTEL_KE @s_wonder9 !?",NyunguRaphael,0,0,,@AIRTEL_KE @s_wonder9,
5482,1295077554735521793,2020-08-16 19:18:45+00:00,"@AIRTEL_KE Hi, im experiencing very poor internet at the moment, i have data but can't browse, cant even load a Google search 0756229423 help",duncan_elishama,0,0,,@AIRTEL_KE,
5484,1295076833571024896,2020-08-16 19:15:53+00:00,Your incompetence @AIRTEL_KE is &amp; calling you guys is useless. Bravo! ,Dojaflat,0,0,,@AIRTEL_KE,
5487,1295076678251798530,2020-08-16 19:15:16+00:00,@AIRTEL_KE do you have monthly bundles?,GababaAhmed,0,0,,@AIRTEL_KE,
5488,1295076527827189762,2020-08-16 19:14:40+00:00,"@AIRTEL_KE when I asked for my unliminet bundle balance, I got the first msg. On auto renewal, I got the second, enquiring the balance again I got the third. Why the disparity in minutes bought? ",MeshllamK,0,0,,@AIRTEL_KE,
5495,1295073398746492928,2020-08-16 19:02:14+00:00,"Hi @AIRTEL_KE? This write up you've posted here -75GB binge""offer, isn't supported by your app current status? Are you aware? Whichever way and if the offer is to be used, could you give way forward? @s_wonder9 need to use! @musembi_regina",NyunguRaphael,1,1,,@AIRTEL_KE @s_wonder9 @musembi_regina,
5496,1295067014369816581,2020-08-16 18:36:52+00:00,@AIRTEL_KE is there any explanation on the poor network being experienced recently? And no it's not my handset. ,PesaKash,0,1,,@AIRTEL_KE,
5497,1295066319000424453,2020-08-16 18:34:06+00:00,@GOtvKenya and @AIRTEL_KE are really poor service providers in this country!,The_dude_leon,0,0,,@GOtvKenya @AIRTEL_KE,
5498,1295066047767289862,2020-08-16 18:33:01+00:00,@AIRTEL_KE Very very weak signal yet I have over 25GB of data. What's the point. Kindly sort it out because it's quite annoying to have such kind of buffering on 4G in Nairobi. 0734490532 it almost feels like the worst network service,Stella_Rowland,0,0,,@AIRTEL_KE,
5501,1295065841520840706,2020-08-16 18:32:12+00:00,"Why would you hide that under the data option? @AIRTEL_KE have refused to up their game. In fact, you have intentionally dumbed down your game. How do you hope to survive?",ElaMMK,0,0,,@AIRTEL_KE,
5505,1295065016190763013,2020-08-16 18:28:55+00:00,How does @AIRTEL_KE not have the option to speak to a Customer Care Assistant? This is how you will truly close shop and leave us at the mercy of Safaricom ,ElaMMK,0,0,,@AIRTEL_KE,
5507,1295064153825193985,2020-08-16 18:25:30+00:00,@AIRTEL_KE your mobile internet lately is unbelievably terrible! At 4G yet it's as weak as no signal at all. I am quite a disappointed customer. #34490532,Stella_Rowland,0,0,,@AIRTEL_KE,
5510,1295062100516253697,2020-08-16 18:17:20+00:00,@AIRTEL_KE I am unable to send text messages despite having sufficient airtime. There is no option to resolve this on the self are Customer Care. Please advise,ElaMMK,0,0,,@AIRTEL_KE,
5513,1295060479455498240,2020-08-16 18:10:54+00:00,"@AIRTEL_KE Your Issue with ID C38321908 has been logged in with us and the expected resolution date is 13-08-2020.not resolved yet. How does an unlimiNet bundle just vanish and airtime of Keys 12 disappear in 7 days. Customer care is unreachable, Parkside shop not very helpful",Senomak,0,0,,@AIRTEL_KE,
5514,1295059509350604800,2020-08-16 18:07:02+00:00,@DoT_India @airtelnews @airtelindia @Airtel_Presence @airtelmg @Airtel_Zambia @AIRTEL_KE @Airtel_Ug Never ever Suggestable network..Poor Customer service. @nagarjuna_iu,Sushil_Dvp,0,0,,@DoT_India @airtelnews @airtelindia @Airtel_Presence @airtelmg @Airtel_Zambia @AIRTEL_KE @Airtel_Ug @nagarjuna_iu,
5516,1295057115279757314,2020-08-16 17:57:31+00:00,@AIRTEL_KE Is it possible to renew this data bundles? ,jeffngugi_,0,0,,@AIRTEL_KE,
5518,1295051808075808769,2020-08-16 17:36:26+00:00,"@AIRTEL_KE please check for me what has deducted airtime worth 10 from my number 0736155014 at around 8.25, it's shocking",ResilientPK,0,0,,@AIRTEL_KE,
5523,1295046356998991875,2020-08-16 17:14:46+00:00,@AIRTEL_KE Reverse the last unliminet 2k gifted to 0738755408 from 0752316873. Let the Airtime go to 0752316873....,jeichegee,0,0,,@AIRTEL_KE,
5526,1295043272126222337,2020-08-16 17:02:31+00:00,@AIRTEL_KE Reverse the last unliminet 2k gifted to 0738755408 from 0752316873. Let the Airtime go to 0752316873.,jeichegee,0,0,,@AIRTEL_KE,
5528,1295041334168956928,2020-08-16 16:54:49+00:00,@AIRTEL_KE Any idea how to check binge balance?,sir_adnanking,0,0,,@AIRTEL_KE,
5534,1295039210659950605,2020-08-16 16:46:23+00:00,Hi @AIRTEL_KE kindly check DM.,Kayzomollo,0,0,,@AIRTEL_KE,
5536,1295038390392500225,2020-08-16 16:43:07+00:00,@AIRTEL_KE kindly guide me on how to buy credit from Mpesa to my airtel line,AmbroseAwiti,0,0,,@AIRTEL_KE,
5540,1295036731348197377,2020-08-16 16:36:32+00:00,@AIRTEL_KE your network coverage is very poor.... kindly adjust as soon a possible or else we #Resist,Real_Sewe91,0,0,,@AIRTEL_KE,#Resist
5543,1295035879938031628,2020-08-16 16:33:09+00:00,@AIRTEL_KE bring back the binge bundle,Macaillasteve,0,0,,@AIRTEL_KE,
5545,1295035501552918534,2020-08-16 16:31:38+00:00,@AIRTEL_KE check DM,austinjoe90,0,0,,@AIRTEL_KE,
5548,1295032276967927809,2020-08-16 16:18:50+00:00,Kwani @AIRTEL_KE mlianza kusoma notes za @SafaricomPLC sikuizi bundles zenu hazikai sana na Niko na viti .Si fair bana!!,mali_safii,8,28,,@AIRTEL_KE @SafaricomPLC,
5549,1295031737504997378,2020-08-16 16:16:41+00:00,@AIRTEL_KE I've been using your internet for a while now for my business but today the connectivity is terrible. Do work on this. It's frustrating,NyambuRuth,0,0,,@AIRTEL_KE,
5557,1295028200792358913,2020-08-16 16:02:38+00:00,"@AIRTEL_KE for the lines that were already subscribed, will the offer automatically renew after the 1 month ama?",Macaillasteve,0,0,,@AIRTEL_KE,
5565,1295026591572074497,2020-08-16 15:56:14+00:00,@AIRTEL_KE That's why I'm asking what happened? Is there an alternative?,Macaillasteve,0,0,,@AIRTEL_KE,
5567,1295026286633594880,2020-08-16 15:55:01+00:00,@AIRTEL_KE still waiting for this ,KaraniMagutah,0,0,,@AIRTEL_KE,
5570,1295025534913609730,2020-08-16 15:52:02+00:00,"@AIRTEL_KE Hi, what happened to the binge bundle?",Macaillasteve,0,0,,@AIRTEL_KE,
5581,1295020962841128961,2020-08-16 15:33:52+00:00,"Airtel is a sly service provider, There is no hearing of customers' problems. #airtel_चोर_है @Airtel_Presence @airtelindia @airtelnews @AIRTEL_KE @AirtelNigeria @Airtel_Ug @airtelmg @Airtel_Zambia @airtelrw @VittalGopal @sunilbmittal @PankajJha0 @sudhirchaudhary @SwetaSinghAT",singhsnsingh,0,0,,@Airtel_Presence @airtelindia @airtelnews @AIRTEL_KE @AirtelNigeria @Airtel_Ug @airtelmg @Airtel_Zambia @airtelrw @VittalGopal @sunilbmittal @PankajJha0 @sudhirchaudhary @SwetaSinghAT,#airtel_
5583,1295017937661825025,2020-08-16 15:21:51+00:00,Ghai! Ati Virgin Mary; ...... Wee Mbinguni Utaistreem Online na 2G Bundles za @AIRTEL_KE vile huwa #Mbovu!,roynikki19,0,0,,@AIRTEL_KE,#Mbovu
5587,1295014241469001728,2020-08-16 15:07:10+00:00,Hey Airtel Will you able to close these pending SR's. There is a limit to shamelessness but Airtel has crossed that limit to @Airtel_Presence @airtelindia @VittalGopal @sunilbmittal @AirtelNigeria @AIRTEL_KE @Airtel_Ug @airtelmg @airtelrw @TRAI @rsprasad @PMOIndia @narendramodi https://twitter.com/singhsnsingh/status/1294986047885946886,singhsnsingh,0,0,,@Airtel_Presence @airtelindia @VittalGopal @sunilbmittal @AirtelNigeria @AIRTEL_KE @Airtel_Ug @airtelmg @airtelrw @TRAI @rsprasad @PMOIndia @narendramodi,
5589,1295014122954862592,2020-08-16 15:06:41+00:00,@AIRTEL_KE check DM,alan_wachira,0,0,,@AIRTEL_KE,
5592,1295013867597291520,2020-08-16 15:05:40+00:00,@AIRTEL_KE This is a new too low for you.4 days later i cant check my data http://bal.as your system keeps on telling am not subscribed to any package.Too boring....,mutiesm_sheddy,0,0,,@AIRTEL_KE,
5594,1295012073433432064,2020-08-16 14:58:33+00:00,@AIRTEL_KE Mandera County is experiencing the worst communication outage. Airtel is present but with only 1 mast that serves the whole town and it’s environs;the coverage is very low(5kms radius)Could Airtel consider improving this to help the residents?,MjellowA,0,0,,@AIRTEL_KE,
5599,1295001021723312128,2020-08-16 14:14:38+00:00,"@AIRTEL_KE Your Issue with ID C38321908 has been logged in with us and the expected resolution date is 13-08-2020.not resolved yet. How does an unlimiNet bundle just vanish and airtime of Keys 12 disappear in 7 days. Customer care is unreachable, Parkside shop not very helpful",Senomak,0,0,,@AIRTEL_KE,
5603,1294995920552165377,2020-08-16 13:54:21+00:00,"@AIRTEL_KE Your Issue with ID C38321908 has been logged in with us and the expected resolution date is 13-08-2020. Not resolved. Have to visit Parkside shop daily as you cannot be reached otherwise. How data bundle package dropped and wipes out KES 12,000 of airtime in 7 days",Senomak,0,0,,@AIRTEL_KE,
5604,1294995546772508674,2020-08-16 13:52:52+00:00,"@AIRTEL_KE Your Issue with ID C38321908 has been logged in with us and the expected resolution date is 13-08-2020. Not resolved. Have to visit Parkside shop daily as you cannot be reached otherwise. How data bundle package dropped and wipes out KES 12,000 of airtime in 7 days",Senomak,0,0,,@AIRTEL_KE,
5613,1294991860511969280,2020-08-16 13:38:13+00:00,@AIRTEL_KE how do i check my balance for minutes and sms am on monthly unliminet combo?,Am_NOT_that_gal,0,0,,@AIRTEL_KE,
5617,1294988689639186433,2020-08-16 13:25:37+00:00,"@AIRTEL_KE my Airtel router ain't working,yet balance is 21 Gb",drixxtitus,0,0,,@AIRTEL_KE,
5618,1294986694148620288,2020-08-16 13:17:42+00:00,Check DM @AIRTEL_KE,MrDennisMutua,0,0,,@AIRTEL_KE,
5625,1294982541036978176,2020-08-16 13:01:12+00:00,"@AIRTEL_KE You are very unpredictable, it's hard for a customer to plan his monthly data consumption with you in mind, barely 3 weeks the best offer you introduced below is gone! @AIRTEL_KE. Reliability is key in the business world ",avagalwa,0,0,,@AIRTEL_KE @AIRTEL_KE,
5632,1294980615197077506,2020-08-16 12:53:32+00:00,@AIRTEL_KE I wrote a message to you earler today but you havent replied.give me customet care numbers and not 100.,karoleeh,0,0,,@AIRTEL_KE,
5634,1294978598319857665,2020-08-16 12:45:32+00:00,"@AIRTEL_KE Hi, cannot find airtime bought. Please check DM for the number",Ciombaine,0,0,,@AIRTEL_KE,
5638,1294973921561739271,2020-08-16 12:26:57+00:00,Please upgrade your network before advertisement.. I like to say that ... Jio is no advertisement but network is awesome @JioCare @reliancejio @reliancegroup thank you guys. Some extraordinary products won't need promotions @airtelindia @Airtel_Presence @AirtelNigeria @AIRTEL_KE,premsagarmalur,0,0,,@JioCare @reliancejio @reliancegroup @airtelindia @Airtel_Presence @AirtelNigeria @AIRTEL_KE,
5643,1294971393830981632,2020-08-16 12:16:54+00:00,Kumbe net ya @AIRTEL_KE ni trash after Swapping ,surum_,0,0,,@AIRTEL_KE,
5649,1294970803696676868,2020-08-16 12:14:33+00:00,@AIRTEL_KE my data connectivity is so slow despite having bundles can u assist 0780551565,wazomelicious,0,0,,@AIRTEL_KE,
5662,1294966288880676866,2020-08-16 11:56:37+00:00,Chopi wenu pale highschool sai yeye hufanya kazi gani? Wetu anatembezaga lines za @AIRTEL_KE tao,mkambasumbua,2,23,,@AIRTEL_KE,
5664,1294965167160254464,2020-08-16 11:52:09+00:00,"@AIRTEL_KE Why does my airtel number display ""private number"" when i call someone...how do i reset it",Gzacq,0,0,,@AIRTEL_KE,
5665,1294964931889168384,2020-08-16 11:51:13+00:00,@AIRTEL_KE are slowly turning into safaricom after supporting there brand for two years i have to go to @TelkomKenya its the true smartphone network,tessforcedme,0,1,,@AIRTEL_KE @TelkomKenya,
5666,1294962686267203584,2020-08-16 11:42:18+00:00,@AIRTEL_KE check DM,MrDennisMutua,0,0,,@AIRTEL_KE,
5667,1294960337062637568,2020-08-16 11:32:58+00:00,@AIRTEL_KE still no help,thatgirlmarka,0,0,,@AIRTEL_KE,
5676,1294954986040897547,2020-08-16 11:11:42+00:00,@AIRTEL_KE still waiting for a reply in the DM,I_Am_Feisty,0,0,,@AIRTEL_KE,
5687,1294947402697314305,2020-08-16 10:41:34+00:00,@AIRTEL_KE Hello there I have this problem all calls from a sim card have been barred (call barring) and I have forgotten the barring code how can you help me kindly,Luigi_tingalayu,0,0,,@AIRTEL_KE,
5696,1294945440790503425,2020-08-16 10:33:46+00:00,Airtel should make an Ad..saying we want our customers to be ZERO @airtelindia @airtelnews @DentsuAegisIN @dentsuaegis @VittalGopal @AirtelNigeria @AIRTEL_KE @Airtel_Ug @airtelmg @Airtel_Zambia,prashun23,0,0,,@airtelindia @airtelnews @DentsuAegisIN @dentsuaegis @VittalGopal @AirtelNigeria @AIRTEL_KE @Airtel_Ug @airtelmg @Airtel_Zambia,
5698,1294944418521210885,2020-08-16 10:29:42+00:00,Change not reflecting in my airtel thanks app... still showing the higher rental plan & why wud I pay a higher rental wen u guys won't resolve a request on time. Ur team promised me a waiver. @airtelindia @Airtel_Presence @airtelnews @VittalGopal @AirtelNigeria @AIRTEL_KE @aajtak,prashun23,0,0,,@airtelindia @Airtel_Presence @airtelnews @VittalGopal @AirtelNigeria @AIRTEL_KE @aajtak,
5711,1294941988530397184,2020-08-16 10:20:03+00:00,"@AIRTEL_KE , that's the last time I go recommending you to anyone. You are so annoyingly fickle! You offer binge bundles then yank them away, no notification?! My two friends here bought lines and loaded them with 1000 bob ready to buy the bundle. What to do?",PasomiMucha,0,1,,@AIRTEL_KE,
